Stuff,Muscles,Complexity,Exercise ,Link
kb,back,2,KB Single Arm Deadlift,https://www.youtube.com/watch?v=4SFg7GaKI0A
kb,back,3,KB Suitcase Deadlift,https://www.youtube.com/watch?v=eUjU3YBHe-Y
kb,back,4,KB Clean,https://www.youtube.com/watch?v=C0B1SrcGAIA
kb,back,5,KB Snatch,https://www.youtube.com/watch?v=AUAqL8GJlcs
bar,back,1,Landmine Deadlift,https://www.youtube.com/watch?v=3QmesK2a2Fg
bar,back,2,Meadow Rows,https://www.youtube.com/watch?v=EsmIWi_0lio
bar,back,3,Bentover Rows,https://www.youtube.com/watch?v=kBWAon7ItDw
bar,back,4,Deadlift,https://www.youtube.com/watch?v=oiDczs9j75E
bar,back,5,Clean,https://www.youtube.com/watch?v=3F5UCelGl9o
rb_long,back,1,Face Pulls,https://www.youtube.com/watch?v=Wq-Td9UXRK8
rb_long,back,2,Seated Resistance Band Row,https://www.youtube.com/watch?v=TBNt2DBvkl4
rb_long,back,3,Resistance Band Lat Pulldown,https://www.youtube.com/watch?v=M_tk7gXDxdU
rb_long,back,4,Resistance Bang Bentover Row,https://www.youtube.com/watch?v=NY-0T5NADFI
rb_long,back,5,Resistance Band Deadlift,https://www.youtube.com/watch?v=tSMgar8KC3Q
nothing,bi,1,Inverted Rows,https://www.youtube.com/watch?v=rloXYB8M3vU
nothing,bi,2,Inverted Rows,https://www.youtube.com/watch?v=rloXYB8M3vU
nothing,bi,3,Bodyweight curl,https://www.youtube.com/watch?v=vByJfI8acOw
nothing,bi,4,Chin Up Hold,https://www.youtube.com/watch?v=sfKEBt-gNlE
nothing,bi,5,Chin Ups,https://www.youtube.com/watch?v=qV7vOUcUfD4
db,bi,1,Waiter Curls,https://www.youtube.com/watch?v=jt76fPbTdL4
db,bi,2,Incline Curls,https://www.youtube.com/watch?v=MVSccftvAQw
db,bi,3,Dumbbell Bicep Curls,https://www.youtube.com/watch?v=in7PaeYlhrM
db,bi,4,Dumbbell Preacher Curls,https://www.youtube.com/watch?v=7v7uldi1eLU
db,bi,5,Chest Supported Bicep Curls,https://www.youtube.com/watch?v=d60BTJ8ja7U
kb,bi,1,Crush Grip KB Bicep Curls,https://www.youtube.com/watch?v=6MC0SwYyF9E
kb,bi,2,Crush Grip KB Bicep Curls,https://www.youtube.com/watch?v=6MC0SwYyF9E
kb,bi,3,KB Hammer Curls,https://www.youtube.com/watch?v=KLvGXRo56iQ
kb,bi,4,Tall-Kneeling KB Hammer Curls,https://www.youtube.com/watch?v=j5UwqcA9UNM
kb,bi,5,Tall-Kneeling KB Hammer Curls,https://www.youtube.com/watch?v=j5UwqcA9UNM
bar,bi,1,Barbell Curl,https://www.youtube.com/watch?v=-moSw0_zJ5c
bar,bi,2,Barbell Drag Curl,https://www.youtube.com/watch?v=Bhr0yZRNYQs
bar,bi,3,Strict Barbell Curl,https://www.youtube.com/watch?v=4rjMFcL7CyA
bar,bi,4,Chest Supported Barbell Bicep Curls,https://www.youtube.com/watch?v=75APAIQEBzA
bar,bi,5,Chest Supported Barbell Bicep Curls,https://www.youtube.com/watch?v=75APAIQEBzA
rb_long,bi,1,Resistance Band Preacher Curl,https://www.youtube.com/watch?v=N1JBxAtHJKw
rb_long,bi,2,Single-Arm Bicep Curl,https://www.youtube.com/watch?v=PWx4H0RHq_Q
rb_long,bi,3,Banded Bicep Curls,https://www.youtube.com/watch?v=BeeZJKwAWQo
rb_long,bi,4,Lying Bicep Curl,https://www.youtube.com/watch?v=S6rd0C6WUeo
rb_long,bi,5,Lying Bicep Curl,https://www.youtube.com/watch?v=S6rd0C6WUeo
nothing,tri,1,Plank to Press,https://www.youtube.com/watch?v=o-c-2QWm5i8
nothing,tri,2,Push Ups,https://www.youtube.com/watch?v=IODxDxX7oi4
nothing,tri,3,Diamond Push Ups,https://www.youtube.com/watch?v=IODxDxX7oi4
nothing,tri,4,Dips,https://www.youtube.com/watch?v=jdFzYGmvDyg
nothing,tri,5,Bodyweight Tricep Extension,https://www.youtube.com/watch?v=VYgVTinbx_A
db,tri,1,Crush-Grip Dumbbell Tricep Extension,https://www.youtube.com/watch?v=-nvh8Vxb-Nw
db,tri,2,Overhead Tricep Extension,https://www.youtube.com/watch?v=41pqsB6ppx0
db,tri,3,Lying Overhead Tricep Extension,https://www.youtube.com/watch?v=2azK5QfuWFk
db,tri,4,Crush-Grip Lying Tricep Extension,https://www.youtube.com/watch?v=xKa92wXSz5I
db,tri,5,Dumbbell JM Press,https://www.youtube.com/watch?v=bzqTeUgGAac
